,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month
5177,23142,91.0,9.0,9.0,10.0,9.0,10.0,9.0,13,1.7
5178,47244,91.0,10.0,9.0,9.0,9.0,10.0,9.0,30,1.14
5179,69954,96.0,10.0,10.0,10.0,10.0,10.0,10.0,62,2.55
5180,28771,60.0,8.0,4.0,10.0,8.0,8.0,6.0,1,0.04
5181,25564,90.0,10.0,10.0,9.0,9.0,9.0,10.0,2,0.08
5182,6080,,,,,,,,0,
5183,31299,90.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.12
5184,40409,98.0,10.0,10.0,10.0,10.0,10.0,10.0,13,0.55
5185,66842,87.0,9.0,9.0,9.0,9.0,9.0,9.0,83,3.1
5186,56405,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.11
5187,50980,97.0,10.0,10.0,10.0,10.0,9.0,10.0,7,0.36
5188,52481,81.0,9.0,8.0,10.0,9.0,9.0,8.0,128,4.82
5189,55314,76.0,8.0,8.0,9.0,9.0,9.0,8.0,130,4.86
5190,53431,83.0,9.0,8.0,9.0,9.0,9.0,9.0,137,5.11
5191,27831,100.0,10.0,10.0,10.0,10.0,10.0,10.0,6,0.25
5192,69072,,,,,,,,0,
5193,34153,97.0,10.0,10.0,10.0,10.0,10.0,10.0,23,0.88
5194,1118,91.0,9.0,9.0,10.0,10.0,10.0,9.0,33,1.24
5195,39560,,,,,,,,0,
5196,9848,100.0,10.0,10.0,10.0,10.0,10.0,10.0,20,0.79
5197,2364,86.0,9.0,8.0,9.0,9.0,10.0,9.0,22,0.84
5198,24808,95.0,10.0,9.0,10.0,10.0,10.0,10.0,21,0.8
5199,33734,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,0.12
5200,55771,,,,,,,,1,0.05
5201,51829,94.0,10.0,9.0,10.0,10.0,9.0,9.0,38,1.44
5202,26842,97.0,10.0,10.0,10.0,10.0,10.0,9.0,18,0.69
5203,45804,,,,,,,,0,
5204,41978,93.0,10.0,10.0,10.0,9.0,9.0,9.0,14,0.53
5205,533,,,,,,,,2,0.13
5206,61783,74.0,7.0,9.0,9.0,9.0,10.0,8.0,7,0.34
5207,34575,97.0,10.0,9.0,10.0,10.0,10.0,10.0,58,2.22
5208,35410,91.0,10.0,10.0,10.0,10.0,9.0,9.0,9,0.35
5209,24123,100.0,10.0,10.0,10.0,10.0,8.0,10.0,3,0.43
5210,15455,,,,,,,,0,
5211,67540,95.0,10.0,10.0,10.0,10.0,10.0,10.0,5,0.19
5212,50084,92.0,9.0,8.0,10.0,10.0,10.0,9.0,36,1.66
5213,7918,,,,,,,,0,
5214,27366,96.0,10.0,10.0,10.0,10.0,9.0,10.0,58,2.19
5215,51206,85.0,10.0,8.0,9.0,9.0,10.0,9.0,11,0.43
5216,54701,90.0,9.0,10.0,10.0,10.0,9.0,9.0,2,0.08
5217,469,100.0,10.0,10.0,10.0,10.0,10.0,10.0,13,0.49
5218,29792,98.0,10.0,10.0,10.0,10.0,8.0,9.0,8,3.16
5219,64463,90.0,10.0,8.0,7.0,10.0,9.0,9.0,2,0.18
5220,48928,,,,,,,,0,
5221,8255,,,,,,,,0,
5222,27542,91.0,10.0,9.0,10.0,9.0,10.0,9.0,165,6.27
5223,55240,96.0,10.0,9.0,10.0,10.0,9.0,9.0,15,0.64
5224,56938,,,,,,,,0,
5225,47627,,,,,,,,0,
5226,37001,,,,,,,,0,
5227,37871,99.0,10.0,10.0,10.0,10.0,10.0,10.0,34,1.33
5228,44550,88.0,9.0,9.0,9.0,9.0,10.0,9.0,19,0.74
5229,9174,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12,0.47
5230,60964,100.0,10.0,9.0,10.0,10.0,9.0,10.0,2,0.09
5231,57552,90.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0.11
5232,7014,92.0,10.0,10.0,10.0,10.0,10.0,9.0,161,6.08
5233,25064,,,,,,,,0,
5234,50947,100.0,10.0,10.0,10.0,10.0,10.0,10.0,62,2.38
5235,6197,98.0,10.0,10.0,10.0,10.0,10.0,9.0,34,1.31
5236,10165,72.0,7.0,8.0,9.0,9.0,8.0,8.0,21,0.8
5237,68709,98.0,10.0,10.0,10.0,10.0,10.0,10.0,84,3.19
5238,43840,99.0,10.0,10.0,10.0,10.0,9.0,10.0,14,0.53
5239,20705,98.0,10.0,10.0,10.0,10.0,10.0,10.0,9,0.37
5240,50489,97.0,10.0,10.0,10.0,10.0,9.0,10.0,7,0.29
5241,13574,93.0,9.0,9.0,10.0,10.0,9.0,10.0,23,0.89
5242,18226,99.0,10.0,10.0,10.0,10.0,10.0,10.0,71,2.7
5243,39430,85.0,9.0,9.0,7.0,9.0,9.0,9.0,16,0.85
5244,57185,100.0,10.0,9.0,10.0,10.0,9.0,9.0,4,0.16
5245,47140,60.0,4.0,10.0,10.0,10.0,6.0,4.0,1,0.04
5246,18781,99.0,10.0,10.0,10.0,10.0,10.0,10.0,20,0.78
5247,71972,95.0,10.0,10.0,10.0,10.0,10.0,9.0,16,0.86
5248,1425,100.0,10.0,10.0,10.0,10.0,10.0,8.0,1,0.32
5249,42158,100.0,10.0,9.0,10.0,10.0,10.0,10.0,2,0.08
5250,44097,100.0,10.0,10.0,10.0,10.0,10.0,10.0,17,2.63
5251,71762,100.0,10.0,10.0,10.0,10.0,10.0,10.0,17,0.65
5252,47347,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.04
5253,23486,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.08
5254,45409,99.0,10.0,10.0,10.0,10.0,9.0,10.0,37,1.47
5255,23705,,,,,,,,0,
5256,10830,96.0,10.0,10.0,10.0,10.0,9.0,10.0,25,0.98
5257,1310,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,0.11
5258,58206,,,,,,,,0,
5259,65012,81.0,9.0,8.0,9.0,9.0,9.0,8.0,18,0.94
5260,62984,90.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.08
5261,15345,100.0,10.0,10.0,,10.0,,,1,0.04
5262,30409,93.0,10.0,9.0,10.0,10.0,10.0,9.0,74,2.84
5263,8768,87.0,9.0,8.0,10.0,10.0,9.0,10.0,7,0.27
5264,64486,82.0,9.0,10.0,8.0,8.0,10.0,9.0,10,0.4
5265,12520,87.0,9.0,9.0,9.0,10.0,10.0,8.0,7,0.3
5266,47874,100.0,10.0,9.0,10.0,10.0,10.0,10.0,5,0.21
5267,14809,67.0,6.0,7.0,6.0,7.0,7.0,7.0,3,0.16
5268,27965,96.0,10.0,10.0,10.0,10.0,9.0,10.0,19,0.73
5269,9477,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.08
5270,65163,98.0,9.0,10.0,10.0,10.0,10.0,10.0,12,0.47
5271,11435,,,,,,,,0,
5272,37515,,,,,,,,0,
5273,41177,100.0,10.0,10.0,10.0,10.0,10.0,10.0,23,0.89
5274,47224,84.0,8.0,7.0,9.0,9.0,8.0,8.0,18,0.7
5275,75271,96.0,10.0,10.0,10.0,10.0,10.0,10.0,20,0.83
5276,64840,,,,,,,,0,
5277,5076,90.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.11
5278,53875,94.0,10.0,10.0,10.0,10.0,10.0,9.0,7,0.29
5279,19518,92.0,9.0,9.0,10.0,10.0,10.0,9.0,33,1.25
5280,34416,99.0,10.0,10.0,10.0,10.0,9.0,10.0,99,3.85
5281,71798,91.0,9.0,9.0,9.0,9.0,10.0,10.0,34,1.31
5282,64372,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,0.11
5283,29286,,,,,,,,0,
5284,69897,100.0,8.0,10.0,10.0,10.0,10.0,8.0,1,0.04
5285,62890,95.0,10.0,9.0,10.0,10.0,9.0,10.0,93,3.56
5286,6713,93.0,9.0,9.0,9.0,9.0,10.0,10.0,3,0.12
5287,32921,,,,,,,,1,0.04
5288,70374,98.0,10.0,10.0,10.0,10.0,10.0,10.0,71,2.72
5289,65831,100.0,10.0,8.0,10.0,10.0,10.0,8.0,2,0.08
