,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month
10354,43281,96.0,9.0,10.0,10.0,10.0,10.0,10.0,5,0.74
10355,64660,100.0,10.0,10.0,10.0,10.0,9.0,10.0,2,0.27
10356,31735,,,,,,,,0,
10357,74892,80.0,9.0,10.0,9.0,7.0,9.0,8.0,2,0.48
10358,13825,,,,,,,,2,0.22
10359,71301,,,,,,,,0,
10360,63596,,,,,,,,0,
10361,2801,,,,,,,,0,
10362,23139,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.23
10363,58565,80.0,7.0,7.0,10.0,10.0,9.0,7.0,3,0.43
10364,25248,,,,,,,,0,
10365,50490,100.0,10.0,9.0,10.0,10.0,10.0,10.0,13,1.43
10366,29622,90.0,8.0,8.0,10.0,10.0,10.0,9.0,2,0.38
10367,23473,94.0,10.0,9.0,9.0,9.0,10.0,9.0,10,1.25
10368,60995,,,,,,,,0,
10369,55790,97.0,10.0,10.0,10.0,10.0,10.0,10.0,15,1.96
10370,64882,20.0,4.0,2.0,4.0,6.0,6.0,2.0,1,0.11
10371,19066,84.0,10.0,9.0,10.0,10.0,10.0,9.0,5,0.77
10372,45734,93.0,10.0,8.0,10.0,10.0,10.0,10.0,47,6.47
10373,51780,93.0,10.0,10.0,10.0,10.0,8.0,9.0,11,1.34
10374,50530,,,,,,,,0,
10375,2003,,,,,,,,1,0.14
10376,47136,89.0,9.0,8.0,10.0,10.0,9.0,9.0,39,4.4
10377,76270,99.0,10.0,10.0,10.0,10.0,10.0,10.0,20,2.27
10378,60049,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,0.17
10379,15811,90.0,9.0,9.0,9.0,9.0,10.0,9.0,21,2.31
10380,53784,90.0,10.0,9.0,10.0,10.0,9.0,9.0,14,1.58
10381,70586,96.0,10.0,10.0,9.0,10.0,10.0,9.0,19,2.28
10382,54609,100.0,10.0,10.0,10.0,10.0,9.0,10.0,5,0.55
10383,11580,80.0,10.0,8.0,10.0,10.0,10.0,8.0,1,0.6
10384,32826,100.0,10.0,10.0,10.0,10.0,9.0,10.0,5,0.56
10385,33579,,,,,,,,0,
10386,18529,98.0,10.0,10.0,10.0,10.0,10.0,10.0,9,1.01
10387,65268,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.34
10388,63921,90.0,9.0,9.0,10.0,10.0,10.0,9.0,8,0.88
10389,66664,,,,,,,,1,0.11
10390,20675,96.0,10.0,8.0,9.0,10.0,10.0,10.0,5,0.62
10391,50276,,,,,,,,1,0.11
10392,28252,100.0,10.0,9.0,10.0,10.0,9.0,9.0,4,0.56
10393,21765,80.0,4.0,8.0,8.0,6.0,8.0,6.0,1,0.12
10394,68082,97.0,10.0,9.0,10.0,10.0,10.0,10.0,7,0.93
10395,27473,93.0,10.0,9.0,10.0,10.0,10.0,10.0,3,0.4
10396,1491,,,,,,,,0,
10397,10668,,,,,,,,2,0.22
10398,53257,93.0,10.0,9.0,9.0,10.0,10.0,9.0,64,7.19
10399,38449,,,,,,,,1,0.11
10400,65851,96.0,10.0,9.0,10.0,10.0,10.0,9.0,10,1.1
10401,55360,,,,,,,,0,
10402,48663,100.0,10.0,10.0,10.0,10.0,10.0,10.0,5,0.63
10403,53443,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.33
10404,70175,,,,,,,,1,0.18
10405,13391,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.13
10406,74846,97.0,10.0,10.0,10.0,10.0,10.0,10.0,20,2.33
10407,70557,90.0,9.0,10.0,10.0,10.0,10.0,9.0,12,1.35
10408,40702,98.0,10.0,10.0,10.0,10.0,10.0,10.0,9,1.12
10409,64022,,,,,,,,0,
10410,50254,79.0,9.0,9.0,8.0,10.0,9.0,8.0,16,1.76
10411,63079,76.0,8.0,5.0,10.0,9.0,9.0,8.0,5,0.68
10412,55446,,,,,,,,0,
10413,30355,93.0,10.0,9.0,10.0,10.0,10.0,10.0,9,1.34
10414,72504,85.0,10.0,9.0,10.0,10.0,10.0,10.0,4,0.44
10415,74250,96.0,10.0,9.0,10.0,10.0,9.0,10.0,19,2.1
10416,8482,,,,,,,,0,
10417,44109,100.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0.32
10418,16703,,,,,,,,1,0.11
10419,70820,89.0,9.0,8.0,9.0,9.0,9.0,9.0,23,2.91
10420,56977,,,,,,,,0,
10421,23365,,,,,,,,0,
10422,56094,100.0,10.0,10.0,10.0,10.0,10.0,9.0,11,1.27
10423,48162,97.0,10.0,10.0,10.0,10.0,10.0,10.0,6,0.67
10424,51841,76.0,9.0,9.0,9.0,9.0,10.0,8.0,11,1.28
10425,36781,96.0,10.0,9.0,10.0,10.0,10.0,10.0,17,2.04
10426,25878,87.0,9.0,9.0,8.0,9.0,9.0,8.0,10,1.2
10427,20858,92.0,10.0,9.0,9.0,10.0,10.0,9.0,13,1.88
10428,13621,87.0,9.0,8.0,8.0,9.0,10.0,8.0,6,0.78
10429,21934,87.0,10.0,10.0,10.0,10.0,10.0,9.0,9,1.02
10430,44879,88.0,9.0,10.0,10.0,10.0,10.0,9.0,5,0.6
10431,19079,81.0,9.0,7.0,9.0,9.0,9.0,8.0,15,1.74
10432,30026,97.0,10.0,10.0,10.0,10.0,10.0,10.0,29,3.78
10433,54543,85.0,10.0,9.0,10.0,10.0,9.0,9.0,5,0.57
10434,33945,,,,,,,,0,
10435,22034,,,,,,,,0,
10436,73192,100.0,10.0,8.0,10.0,10.0,10.0,10.0,1,0.15
10437,76455,98.0,10.0,10.0,10.0,10.0,10.0,10.0,9,1.24
10438,13251,98.0,10.0,10.0,10.0,10.0,10.0,9.0,13,1.42
10439,52862,96.0,10.0,10.0,9.0,10.0,10.0,10.0,11,1.2
10440,62727,90.0,9.0,9.0,8.0,9.0,8.0,8.0,3,0.33
10441,45491,,,,,,,,0,
10442,35973,50.0,4.0,5.0,3.0,3.0,5.0,6.0,2,0.28
10443,988,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.15
10444,54824,,,,,,,,0,
10445,52099,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,0.57
10446,12994,82.0,9.0,9.0,10.0,10.0,10.0,9.0,25,2.93
10447,30532,87.0,9.0,9.0,10.0,10.0,9.0,9.0,33,3.68
10448,22398,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.12
10449,17891,81.0,9.0,8.0,9.0,9.0,9.0,8.0,26,2.91
10450,18966,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12,1.44
10451,76770,,,,,,,,0,
10452,37352,87.0,10.0,10.0,9.0,10.0,8.0,9.0,12,1.99
10453,40816,77.0,9.0,9.0,8.0,9.0,9.0,7.0,14,1.68
10454,9567,80.0,10.0,10.0,10.0,10.0,8.0,8.0,1,0.13
10455,37148,100.0,10.0,10.0,10.0,10.0,10.0,7.0,3,0.43
10456,65954,,,,,,,,0,
10457,68269,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.47
10458,25472,100.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0.4
10459,62402,90.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.27
10460,53374,94.0,10.0,10.0,10.0,10.0,10.0,10.0,58,7.07
10461,71945,80.0,9.0,9.0,9.0,9.0,9.0,9.0,14,2.09
10462,42825,,,,,,,,0,
10463,43247,100.0,10.0,9.0,10.0,10.0,9.0,10.0,3,0.57
