,id,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id
5177,23142,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,strict,1.0,f,f,"$2,690.0",34795
5178,47244,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,4,moderate,2.0,f,f,"$2,066.0",35236
5179,69954,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,507.0",6134
5180,28771,Niue,Type F5,Quantum,ThetaBase Services,1.0,3,flexible,1.0,f,f,"$1,910.0",49122
5181,25564,Wallis and Futuna,Type G0,Quantum,ThetaBase Services,0.0,1,flexible,1.0,f,f,"$4,770.0",14294
5182,6080,Marshall Islands,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,780.0",17669
5183,31299,Marshall Islands,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,780.0",17669
5184,40409,Micronesia,Type V5,Plasma,ThetaBase Services,4.0,6,moderate,4.0,f,f,"$4,770.0",18077
5185,66842,Russian Federation,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,$987.0,26952
5186,56405,Niue,Type F5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,364.0",42261
5187,50980,Malta,Type V5,Quantum,ThetaBase Services,1.0,3,moderate,2.0,f,f,"$1,312.0",49751
5188,52481,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,4,strict,3.0,t,f,"$1,676.0",37459
5189,55314,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,t,f,"$1,377.0",37459
5190,53431,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,4,strict,3.0,t,f,"$1,715.0",37459
5191,27831,Nicaragua,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,f,f,"$2,430.0",28828
5192,69072,Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,2.0,f,f,"$1,520.0",2183
5193,34153,United Kingdom,Type F5,Quantum,ThetaBase Services,1.0,2,strict,2.0,f,f,"$1,260.0",633
5194,1118,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,585.0",31339
5195,39560,Barbados,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,f,f,"$3,470.0",28218
5196,9848,United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,f,f,"$3,730.0",1936
5197,2364,Barbados,Type V5,Nuclear,ThetaBase Services,1.0,10,strict,10.0,f,f,"$1,260.0",12598
5198,24808,Brazil,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,t,f,"$1,195.0",43131
5199,33734,Brazil,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,325.0",43131
5200,55771,Kenya,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,t,f,"$1,715.0",48130
5201,51829,Micronesia,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,f,f,"$2,742.0",30426
5202,26842,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,f,f,"$2,430.0",25824
5203,45804,Nicaragua,Type F5,Plasma,ThetaBase Services,2.0,4,strict,2.0,f,f,"$2,820.0",49262
