,id,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id
10354,43281,El Salvador,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,t,f,"$1,299.0",11475
10355,64660,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,t,f,"$1,195.0",35104
10356,31735,Micronesia,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,f,f,"$6,720.0",38701
10357,74892,Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$3,210.0",18077
10358,13825,Gambia,Type G0,Quantum,ThetaBase Services,1.0,1,flexible,1.0,f,f,"$1,520.0",1553
10359,71301,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,260.0",36788
10360,63596,Isle of Man,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,520.0",19791
10361,2801,Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,f,f,"$1,247.0",19749
10362,23139,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,260.0",36788
10363,58565,Russian Federation,Type V2,Quantum,ThetaBase Services,1.0,2,flexible,1.0,t,f,"$1,247.0",42279
10364,25248,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,260.0",36788
10365,50490,Rwanda,Type V5,Plasma,ThetaBase Services,0.0,2,flexible,1.0,f,f,"$1,845.0",21503
10366,29622,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,4,flexible,1.0,t,f,"$2,820.0",24912
10367,23473,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,f,f,"$1,780.0",28828
10368,60995,Indonesia,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,f,f,"$1,325.0",47843
10369,55790,Niue,Type F5,Quantum,ThetaBase Services,0.0,2,flexible,1.0,t,f,"$1,260.0",5483
10370,64882,Switzerland,Type V5,Plasma,ThetaBase Services,1.0,6,strict,4.0,f,f,"$1,715.0",44169
10371,19066,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,585.0",1345
10372,45734,Malta,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,f,f,"$1,286.0",16649
10373,51780,Uzbekistan,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,2.0,f,f,"$1,507.0",14004
10374,50530,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,6,strict,3.0,t,f,"$3,340.0",2904
10375,2003,Malta,Type V2,Quantum,ThetaBase Services,1.0,1,moderate,1.0,f,f,"$1,260.0",17689
10376,47136,Malta,Type V5,Plasma,ThetaBase Services,0.0,3,flexible,2.0,t,f,"$2,053.0",33982
10377,76270,Micronesia,Type F5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,f,f,"$2,170.0",1285
10378,60049,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,f,f,"$1,260.0",49299
